"date","tmean","tmax","tmin"
"2019-09-01",21.4,24.7,18
"2019-09-02",17.5,22.2,10.7
"2019-09-03",16,24.3,8.5
"2019-09-04",18.2,26.5,8.7
"2019-09-05",14.6,18.2,9.7
"2019-09-06",14.3,19.3,9.5
"2019-09-07",13.8,20.5,8.4
"2019-09-08",11.9,13.2,10.9
"2019-09-09",13.2,18.1,8.4
"2019-09-10",13.8,20.6,6.6
"2019-09-11",15,20.6,7.4
"2019-09-12",17.5,25.7,9.6
"2019-09-13",17.8,25,10.2
"2019-09-14",18,24.4,12.4
"2019-09-15",19.8,28.3,12.3
"2019-09-16",20.2,28.5,13.3
"2019-09-17",16,21.1,10.1
"2019-09-18",13.2,21,6.3
"2019-09-19",12.3,20,4.2
"2019-09-20",14,21.2,3.7
"2019-09-21",13.9,23.9,4.3
"2019-09-22",17.7,26.4,9.4
"2019-09-23",15.7,20.8,11
"2019-09-24",13.8,17.2,7.7
"2019-09-25",16.2,18.3,14.2
"2019-09-26",17.4,19.2,14.8
"2019-09-27",17.7,20.9,15.2
"2019-09-28",16.4,20,12.7
"2019-09-29",17.1,24,7.5
"2019-09-30",16.1,19.8,10.1
"2019-10-01",16.4,22,8
"2019-10-02",12.9,16.9,7
"2019-10-03",9.3,14.6,4.2
"2019-10-04",11.6,14.3,6.7
"2019-10-05",12.5,14.6,9.2
"2019-10-06",12,14.8,8.9
"2019-10-07",11.7,15.4,5.8
"2019-10-08",15.4,19.9,11.2
"2019-10-09",12.7,13.9,11.4
"2019-10-10",12.6,15,9.1
"2019-10-11",14.2,20.4,8.5
"2019-10-12",17.7,24.2,11
"2019-10-13",19.2,26.6,12.5
"2019-10-14",17.9,25.2,11.1
"2019-10-15",13.1,18.1,9.7
"2019-10-16",13.9,18.8,9
"2019-10-17",16.1,20.9,10
"2019-10-18",15.6,20.8,12.8
"2019-10-19",13.6,16.6,11.9
"2019-10-20",14.3,18.9,10.4
"2019-10-21",14.6,16.5,12.6
"2019-10-22",12.8,14.2,10.9
"2019-10-23",12.3,13.2,11
"2019-10-24",14.5,19.5,10.5
"2019-10-25",13.8,18.9,6.9
"2019-10-26",12.7,21.8,5.3
"2019-10-27",17,20.8,8.8
"2019-10-28",8.3,9.1,7.2
"2019-10-29",7.5,9.2,6.7
"2019-10-30",7.7,9.2,6.7
"2019-10-31",7.8,9,6.5
"2019-11-01",11.1,13.5,7.8
"2019-11-02",14.9,18.3,11.7
"2019-11-03",12.6,15.8,10.3
"2019-11-04",12,13.9,10.5
"2019-11-05",9.8,13.8,5.5
"2019-11-06",9.4,11.3,8.1
"2019-11-07",9,11.5,3.5
"2019-11-08",5.9,7.5,3.8
"2019-11-09",4.6,10.1,-1.1
"2019-11-10",1.9,7.6,-3.1
"2019-11-11",3.9,7.5,0.6
"2019-11-12",6.6,8.9,3.9
"2019-11-13",4.9,6.7,1.4
"2019-11-14",3.9,8.3,-0.9
"2019-11-15",4,8,0.1
"2019-11-16",2.7,9.4,-1.2
"2019-11-17",1.8,3.9,-1
"2019-11-18",4.5,6.3,1.7
"2019-11-19",3.9,6.6,0.2
"2019-11-20",0.4,1.6,-1.1
"2019-11-21",2.5,7.7,0.1
"2019-11-22",4.8,10.8,2
"2019-11-23",2.7,4.1,0.8
"2019-11-24",3.5,9.3,-0.5
"2019-11-25",6.5,10.7,2.9
"2019-11-26",9,14.3,3.4
"2019-11-27",11.4,14.8,5.2
"2019-11-28",10.7,12.1,9.2
"2019-11-29",7.5,10.1,3.8
"2019-11-30",2.8,8.9,-1.9
"2019-12-01",2,3.3,-0.3
"2019-12-02",1.3,4.5,-3.3
"2019-12-03",-0.7,5.7,-4.6
"2019-12-04",-2.5,3.2,-5.8
"2019-12-05",-2.1,4.3,-6.3
"2019-12-06",4.5,11.5,-5.3
"2019-12-07",9.2,10.6,7.5
"2019-12-08",11,13.3,8.9
"2019-12-09",7.7,9.7,5.3
"2019-12-10",2.9,7,-3.2
"2019-12-11",1.6,5.6,-4.1
"2019-12-12",3.1,5.9,-2.4
"2019-12-13",6.1,8.8,0.6
"2019-12-14",9.4,12.1,5.6
"2019-12-15",11.8,14.4,7.2
"2019-12-16",8.5,13.1,3.5
"2019-12-17",7.2,15.5,2.7
"2019-12-18",11.1,15.5,3.2
"2019-12-19",5.1,11.1,1.1
"2019-12-20",5.5,11.9,-0.2
"2019-12-21",5.3,9.4,1
"2019-12-22",9.1,11.4,6.6
"2019-12-23",7.1,8.1,6.2
"2019-12-24",8.8,11.6,6.6
"2019-12-25",7.2,9.4,0
"2019-12-26",2.4,7.9,-3
"2019-12-27",7.8,9.7,5.3
"2019-12-28",2.8,5.3,-2.3
"2019-12-29",-1.5,-0.8,-2.1
"2019-12-30",-1,2.8,-2.7
"2019-12-31",-0.3,5.4,-4.4
"2020-01-01",-1.7,-0.9,-2.9
"2020-01-02",-0.8,6.8,-3.4
"2020-01-03",8.7,9.8,6.8
"2020-01-04",6.4,9,3.3
"2020-01-05",2.2,7.5,-2.4
"2020-01-06",1.4,9.6,-3.9
"2020-01-07",5.9,9.1,-1.4
"2020-01-08",5,11.5,-2.9
"2020-01-09",11.8,15.3,8.5
"2020-01-10",9.3,11.3,6
"2020-01-11",4.9,8.1,-1.4
"2020-01-12",2.5,5.5,-2.3
"2020-01-13",4.6,10,-0.6
"2020-01-14",7.1,12.7,-1
"2020-01-15",10,14,3.8
"2020-01-16",9.4,14.4,0.9
"2020-01-17",6.8,11.7,-0.4
"2020-01-18",5.2,7.3,-0.1
"2020-01-19",1.6,4.5,-1.5
"2020-01-20",3.1,7,-0.8
"2020-01-21",-1,3.7,-5.4
"2020-01-22",-2.8,-1.6,-5.7
"2020-01-23",-2.3,-1.7,-2.9
"2020-01-24",-0.1,6.5,-4
"2020-01-25",2.1,9.1,-1.5
"2020-01-26",4.1,10.1,-2.1
"2020-01-27",9.1,12.2,7
"2020-01-28",6.7,9.4,2.2
"2020-01-29",5.6,7.5,3
"2020-01-30",9.1,12.3,3.8
"2020-01-31",13.3,15.1,12.2
"2020-02-01",13.1,14.7,11.5
"2020-02-02",13,14.9,10.6
"2020-02-03",12.5,15.9,9
"2020-02-04",5.6,15.3,1.4
"2020-02-05",3.2,7.8,-2.7
"2020-02-06",0.6,7,-3.9
"2020-02-07",0,7.3,-4.7
"2020-02-08",3.3,12.9,-3.7
"2020-02-09",10.8,15.9,1.5
"2020-02-10",11.9,15.8,7.5
"2020-02-11",5.7,9.8,2.9
"2020-02-12",5.6,8.2,3.8
"2020-02-13",6.9,13.8,1.5
"2020-02-14",7.5,11,2.3
"2020-02-15",6.5,14.5,-0.8
"2020-02-16",14.5,18.1,10.7
"2020-02-17",11.3,17.1,6.9
"2020-02-18",7.3,9.3,5.4
"2020-02-19",6.8,8.1,4.4
"2020-02-20",9.1,12.8,5.5
"2020-02-21",5.6,9.8,0.7
"2020-02-22",8,15.4,-2
"2020-02-23",13,15.8,9.2
"2020-02-24",13.2,15.4,11.4
"2020-02-25",9.2,13.7,7
"2020-02-26",3.4,7.1,0.9
"2020-02-27",4.7,9,2
"2020-02-28",6.5,10.8,2.5
"2020-02-29",11.1,17.3,6.1
"2020-03-01",10.1,14.6,6.3
"2020-03-02",5.9,7.5,2.4
"2020-03-03",5.1,7.9,0.3
"2020-03-04",5.2,10.3,-1.3
"2020-03-05",8.7,12.8,5.5
"2020-03-06",6.1,8.1,5
"2020-03-07",5.2,7.9,0.7
"2020-03-08",7.1,12,-0.8
"2020-03-09",7.5,10.7,5.6
"2020-03-10",8.3,12,5.6
"2020-03-11",13.4,16.1,11.3
"2020-03-12",13.2,16.6,8.4
"2020-03-13",8.4,12.6,1.3
"2020-03-14",5.7,12.2,0.7
"2020-03-15",7.1,15.9,-1
"2020-03-16",10.9,18.8,2
"2020-03-17",11.5,17.7,6.3
"2020-03-18",11.2,19.1,3.9
"2020-03-19",11.6,20.2,4.2
"2020-03-20",11.8,18.9,5
"2020-03-21",6.9,9.1,5.5
"2020-03-22",7.1,12.5,2.3
"2020-03-23",5,11.7,0.2
"2020-03-24",5.5,12.1,-2.8
"2020-03-25",4.8,10.9,-3.3
"2020-03-26",4.6,10.2,-1.5
"2020-03-27",5.8,12.5,-0.9
"2020-03-28",9.1,17.4,0.8
"2020-03-29",4.4,7.7,2
"2020-03-30",3.5,7.4,-2.2
"2020-03-31",4.2,10.9,-4
"2020-04-01",4.9,11.7,-2.6
"2020-04-02",5.8,14.9,-2.5
"2020-04-03",6.6,13.9,-1.2
"2020-04-04",8.4,16.5,-0.7
"2020-04-05",11.3,20,0.5
"2020-04-06",13.5,22.7,3.2
"2020-04-07",14.7,24.5,4
"2020-04-08",14.8,23.3,5
"2020-04-09",15.1,24,5.3
"2020-04-10",15.2,23.3,5.7
"2020-04-11",15.4,23.8,5.9
"2020-04-12",16.6,24.7,9.7
"2020-04-13",13.2,21.9,6.4
"2020-04-14",7.3,12.2,0
"2020-04-15",10.1,19.4,-0.8
"2020-04-16",14.6,24.9,2.2
"2020-04-17",17.5,25.6,7.6
"2020-04-18",16.6,24.4,8.8
"2020-04-19",16.9,23.8,8.1
"2020-04-20",16.7,22.3,10.1
"2020-04-21",17,22.6,12
"2020-04-22",16.8,24.7,7.2
"2020-04-23",14.6,23,4.6
"2020-04-24",16,24.3,5.6
"2020-04-25",15.1,22.1,7.6
"2020-04-26",13.2,20.7,5
"2020-04-27",17.1,24.1,9.5
"2020-04-28",15.4,19.1,12.4
"2020-04-29",13.4,17.7,10.2
"2020-04-30",12.9,15.3,10.6
"2020-05-01",11.9,13.4,10.1
"2020-05-02",9.3,12.1,2.8
"2020-05-03",11.6,19.2,1.8
"2020-05-04",15.9,23,8
"2020-05-05",11.5,14.1,9.6
"2020-05-06",12.7,19.3,5.9
"2020-05-07",13.7,22.9,2.6
"2020-05-08",18.2,27.4,7
"2020-05-09",19.4,26.6,11.2
"2020-05-10",20.6,26.1,14
"2020-05-11",8.8,17.5,4.1
"2020-05-12",8.6,15.1,1.4
"2020-05-13",8.3,10.1,5.7
"2020-05-14",10.6,13.4,8
"2020-05-15",12,16.6,5.4
"2020-05-16",12.5,19.9,2.8
"2020-05-17",13.7,21.2,5.4
"2020-05-18",16,23.8,6.4
"2020-05-19",18.7,25.3,9.1
"2020-05-20",18.4,25.3,9.9
"2020-05-21",19,26.7,9.9
"2020-05-22",21,28.5,10.7
"2020-05-23",14.3,21.7,9.4
"2020-05-24",13.9,19.3,7.4
"2020-05-25",14.1,20.8,6.2
"2020-05-26",15.5,21.8,6.9
"2020-05-27",16.7,23.9,6.7
"2020-05-28",16.8,23.1,7.9
"2020-05-29",17.7,22.9,9.8
"2020-05-30",15.7,22.1,7.1
"2020-05-31",16.1,23.3,5.9
"2020-06-01",20.4,28.1,12.8
"2020-06-02",20.1,27.6,9.6
"2020-06-03",18.9,26.8,12.1
"2020-06-04",16.5,20.2,12.1
"2020-06-05",13.6,15.7,11.5
"2020-06-06",14.4,18,12.4
"2020-06-07",14.1,18.8,10.2
"2020-06-08",14,18.2,8.8
"2020-06-09",13,15,10.9
"2020-06-10",14.7,17.9,12.5
"2020-06-11",16.8,21.7,12.8
"2020-06-12",19.9,28.8,10.6
"2020-06-13",17.6,24.6,12.4
"2020-06-14",16.2,18.7,12.3
"2020-06-15",17.1,23,10.6
"2020-06-16",18,23.2,13.2
"2020-06-17",14.8,17.1,12
"2020-06-18",17.1,23,9
"2020-06-19",16.7,21.8,11.5
"2020-06-20",17.7,22.9,12.5
"2020-06-21",19.7,25.4,11.7
"2020-06-22",20.3,24.9,14
"2020-06-23",20.9,27.8,12.1
"2020-06-24",24,29.8,15.1
"2020-06-25",22.8,29.5,13.4
"2020-06-26",21.6,28.8,17
"2020-06-27",23.4,28.7,15.3
"2020-06-28",21.2,26.6,15.4
"2020-06-29",18.2,22.6,14.7
"2020-06-30",20.2,25.7,14.4
"2020-07-01",23.2,30.2,13.9
"2020-07-02",20.5,23.8,16.8
"2020-07-03",19.2,23.9,12.3
"2020-07-04",20.4,26.3,10.5
"2020-07-05",24.2,28.3,20.9
"2020-07-06",18.8,23.1,9.7
"2020-07-07",16.8,23.9,7.8
"2020-07-08",20.3,28.6,9.4
"2020-07-09",23.9,31.8,13.5
"2020-07-10",23.6,30,15.4
"2020-07-11",18.9,24.2,11.5
"2020-07-12",19.7,27.4,9.3
"2020-07-13",20.6,27.2,10.9
"2020-07-14",21.1,28.3,10.8
"2020-07-15",17.1,21.2,15.1
"2020-07-16",16.4,18,15.1
"2020-07-17",17.6,22.6,14.1
"2020-07-18",19.4,27.4,10.7
"2020-07-19",20.9,29.2,10.8
"2020-07-20",23.2,32.1,12.9
"2020-07-21",21.6,28.3,15.1
"2020-07-22",21.3,29.2,14
"2020-07-23",20.9,28.8,13.1
"2020-07-24",20.5,28,15.2
"2020-07-25",22.9,29.9,13.2
"2020-07-26",21.2,27,15.2
"2020-07-27",24.3,32.9,12.7
"2020-07-28",24.9,30.2,18
"2020-07-29",21.6,28.4,13.5
"2020-07-30",22.9,32.8,11.6
"2020-07-31",25.3,35.6,15
"2020-08-01",26.9,34.6,19.3
"2020-08-02",20.4,23.9,17.4
"2020-08-03",17.8,24.1,14.9
"2020-08-04",17.3,22.2,11.8
"2020-08-05",19.8,28.1,9.5
"2020-08-06",21.6,29.4,12.3
"2020-08-07",24,32.5,15.3
"2020-08-08",25,34,16.8
"2020-08-09",26.4,35.5,16.7
"2020-08-10",24.4,34.5,16.7
"2020-08-11",26.4,34.5,18
"2020-08-12",26,33.7,18.3
"2020-08-13",25.3,31.6,19.6
"2020-08-14",22.2,26.7,17.4
"2020-08-15",23.1,30.7,15.9
"2020-08-16",23.8,32,15.2
"2020-08-17",21.5,27.3,16.5
"2020-08-18",21,26.9,15.2
"2020-08-19",22.2,28.4,13.5
"2020-08-20",26.8,34.9,18.6
"2020-08-21",26.8,35.1,17.8
"2020-08-22",22.9,27.4,16.6
"2020-08-23",20.2,25.7,14.9
"2020-08-24",19.2,24.9,12.9
"2020-08-25",20.5,27.2,10.2
"2020-08-26",22.9,26.5,14.7
"2020-08-27",19.3,26.1,10.1
"2020-08-28",18.9,23.3,15.4
"2020-08-29",17.2,19.2,13.9
"2020-08-30",14.1,14.8,12
"2020-08-31",15.2,20.2,10.3
"2020-09-01",15.6,20.4,13
"2020-09-02",16,22,10.7
"2020-09-03",17.5,24.4,8.6
"2020-09-04",20.5,29.7,11.1
"2020-09-05",21,28,14.5
"2020-09-06",16,20,9.8
"2020-09-07",15.5,23.5,8.2
"2020-09-08",16.3,25.2,7.7
"2020-09-09",18.1,27.5,9.6
"2020-09-10",18.6,25.7,11.1
"2020-09-11",19.9,26.9,13.1
"2020-09-12",20.2,28.5,12.9
"2020-09-13",20.2,28.8,11
"2020-09-14",20.6,31,12
"2020-09-15",22,32,13.3
"2020-09-16",21.8,31.6,14.7
"2020-09-17",19.9,26.8,14.7
"2020-09-18",19.1,26.5,11.8
"2020-09-19",18.8,26.3,11.3
"2020-09-20",18.2,25.5,12.5
"2020-09-21",19.2,27.2,10.3
"2020-09-22",19.9,26.9,12.6
"2020-09-23",19.7,23.6,14.9
"2020-09-24",18.8,23.1,15.1
"2020-09-25",11.6,16.1,9
"2020-09-26",8.8,9.3,8.4
"2020-09-27",9.5,13.2,4.7
"2020-09-28",10.5,16.5,3.1
"2020-09-29",12.3,14.8,9
"2020-09-30",12.4,19.9,6.3
